REF_DATE,GEO,Population centre and rural areas,Class of worker,North American Industry Classification System (NAICS),VALUE
Jul-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],392.3
Aug-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],385.2
Sep-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],384.3
Oct-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],388.3
Nov-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],397.1
Dec-23,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],408.6
Jan-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],407.3
Feb-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],407.7
Mar-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],417.6
Apr-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],415.5
May-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],415.4
Jun-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],405.5
Jul-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],411.5
Aug-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],405.4
Sep-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],405.4
Oct-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],408
Nov-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],406.9
Dec-24,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],413.4
Jan-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],403.3
Feb-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],408.2
Mar-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],414.8
Apr-25,British Columbia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance [62],414.5
